Card Name,Set,Card Number,Condition,Purchase Price,Purchase Date,Quantity,Notes,Card ID
Charizard,Base Set,4,Near Mint,850,2020-03-15,2,,
Blastoise,Base Set,2,LP,120,2021-06-01,,Water starter,
Umbreon VMAX,Evolving Skies,215,NM,300,2022-01-10,,Alt art,
Umbreon VMAX,Evolving Skies,,NM,,,,,
Pikachu,,,Mint,15,,,,
Pikachu,Base Set,,HP,5,,,,
Gengar VMAX,Fusion Strike,271,NM,45.50,2023-08-20,,Rainbow rare,
Charizard ex,151,6,NM,200,,,,sv3pt5-6
Nonexistent Fake Card XYZ9000,,,NM,10,,,,
Dragonite,Nonexistent Fake Set,99,NM,50,,,,
